"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","pol","uvi","mepaqi","pm1","time_estern"
"4382","Seppolantie, Jämsä",46,4960,61.8652,25.19735,"http://aqicn.org/city/finland/jamsa/seppolantie/","pm10","2017-03-30 00:00:00","+03:00",-5.85,67,1015,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4383","Kajaanin keskusta 3, Kajaani",9,4961,64.22444,27.73333,"http://aqicn.org/city/finland/kajaani/kajaanin-keskusta-3/","pm10","2017-03-30 00:00:00","+03:00",-10.85,78,1013,9,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4384","Kirjastotalo, Kotka",62,4962,60.4655,26.93893,"http://aqicn.org/city/finland/kotka/kirjastotalo/","pm10","2017-03-30 00:00:00","+03:00",0.7,74.6,1015.3,62,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4385","Rauhala, Kotka",115,4963,60.51316,26.94621,"http://aqicn.org/city/finland/kotka/rauhala/","pm10","2017-03-30 00:00:00","+03:00",0.7,74.6,1015.3,115,NA,26.6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4386","Ihalainen, Lappeenranta",73,4964,61.04082,28.1765,"http://aqicn.org/city/finland/lappeenranta/ihalainen/","pm10","2017-03-29 13:00:00","+03:00",1.4,57.9,1010.6,73,NA,4.6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4387","Lauritsala, Lappeenranta",14,4965,61.07194,28.26409,"http://aqicn.org/city/finland/lappeenranta/lauritsala/","pm10","2017-03-29 13:00:00","+03:00",1.4,57.9,1010.6,14,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4388","Porrassalmenkatu, Mikkeli",NA,4966,61.68636,27.27334,"http://aqicn.org/city/finland/mikkeli/porrassalmenkatu/","","2016-01-04 09:00:00","+02:00",-13.2,85.6,1011.2,10,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4389","Raahen keskusta 2, Raahe",7,4967,24.48162,64.68337,"http://aqicn.org/city/finland/raahe/raahen-keskusta-2/","pm10","2017-03-30 00:00:00","+03:00",-9.85,85,1014,7,2.3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4390","Hallikatu, Rauma",32,4968,61.12986,21.4997,"http://aqicn.org/city/finland/rauma/hallikatu/","pm10","2017-03-30 00:00:00","+03:00",-3.85,92,1018,32,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4391","Vapaudentie 6a, Seinäjoki",7,4969,22.83932,62.7785,"http://aqicn.org/city/finland/seinajoki/vapaudentie-6a/","pm10","2017-03-30 00:00:00","+03:00",-4.23,82,1016.5,7,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4392","Vaasan keskusta, Vaasa",51,4970,63.09515,21.61832,"http://aqicn.org/city/finland/vaasa/vaasan-keskusta/","pm10","2017-03-30 00:00:00","+03:00",-2.85,86,1017,51,NA,11.5,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4393","Hiekkatekonurmi, Valkeakoski",NA,4971,61.27156,24.02849,"http://aqicn.org/city/finland/valkeakoski/hiekkatekonurmi/","","2016-01-04 08:00:00","+02:00",-11.7,82.4,1009.9,9,1.1,2.1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4394","Psaari 2, Varkaus",33,4972,27.88699,62.31391,"http://aqicn.org/city/finland/varkaus/psaari-2/","pm10","2017-03-30 00:00:00","+03:00",-8.35,72.5,1013,33,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4395","Valparaiso",37,4974,-33.049743798096,-71.614167231712,"http://aqicn.org/city/chile/valparaiso/","pm25","2017-03-29 19:00:00","-03:00",19.65,77,1017,30,15.1,9.1,37,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4396","Copiapo Sivica",34,4975,-27.370329154948,-70.323906678352,"http://aqicn.org/city/chile/copiapo-sivica/","pm25","2017-03-29 18:00:00","-03:00",20.15,64,1015,30,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4397","La Serena",36,4976,-29.933006518748,-71.261966365967,"http://aqicn.org/city/chile/la-serena/","pm25","2017-03-29 18:00:00","-03:00",19.15,72,1015,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
