"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","pol","uvi","mepaqi","pm1","time_estern"
"450","People's Park, Zibo",112,527,36.80833333,118.0422222,"http://aqicn.org/city/shandong/zibo/renmingongyuan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,76,47.7,31.1,112,13.9,2.9,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"451","Dongfeng Chemical factory, Zibo",168,528,36.83805556,118.0447222,"http://aqicn.org/city/shandong/zibo/dongfenghuagongchang/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,96,48.2,42.1,168,18.5,2.1,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"452","Xīnqū, Zibo",159,529,36.84333333,118.0175,"http://aqicn.org/city/shandong/zibo/xinqu/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,83,39.1,36.6,159,11.9,3.7,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"453","Nán dìng, Zibo",127,530,36.80305556,118.0244444,"http://aqicn.org/city/shandong/zibo/nanding/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,81,43.6,36.2,127,14.2,3.3,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"454","Boshan shuangshan, Zibo",151,531,36.49722222,117.8477778,"http://aqicn.org/city/shandong/zibo/boshanshuangshan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,85,39.1,36.2,151,19.7,5.3,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"455","Qīnglóng shān, Zibo",153,532,36.45972222,117.8702778,"http://aqicn.org/city/shandong/zibo/qinglongshan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,67,28.9,34.3,153,12.2,6.5,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"456","Linzi Putian Park, Zibo",154,533,36.81972222,118.3091667,"http://aqicn.org/city/shandong/zibo/linziputianyuan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,87,38.6,41.2,154,20.9,2.5,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"457","Qilu Petrochemical, Zibo",156,534,36.76555556,118.2491667,"http://aqicn.org/city/shandong/zibo/qilushihua/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,106,33,40.7,156,30.6,5.7,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"458","Zhoucun sanjin Group, Zibo",152,535,36.80416667,117.8511111,"http://aqicn.org/city/shandong/zibo/zhoucunsanjinjituan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,68,54.5,49.9,152,16.8,3.3,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"459","Vocational College, Zibo",157,536,36.825,117.9205556,"http://aqicn.org/city/shandong/zibo/zhiyexueyuan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,92,59.9,48.5,157,20.1,4.1,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"460","BDA, Zibo",144,537,36.90472222,118.0158333,"http://aqicn.org/city/shandong/zibo/kaifaqu/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,110,13.2,27.5,144,22.4,1.3,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"461","Shizhong District Government, Zaozhuang",169,538,34.85138889,117.5638889,"http://aqicn.org/city/shandong/zaozhuang/shizhongquzhengfu/","pm25","2017-03-27 08:00:00","+08:00",5,45,1024,142,51.5,25.2,169,16.6,7.4,0.9,NA,200,-2,NA,NA,NA,NA,2017-03-27 00:41:11
"462","Sewage treatment plant, Zaozhuang",193,539,34.82,117.5897222,"http://aqicn.org/city/shandong/zaozhuang/wushuichulichang/","pm10","2017-03-27 08:00:00","+08:00",5,45,1024,193,54,31.6,180,8.2,4.1,0.9,NA,200,-2,NA,NA,NA,NA,2017-03-27 00:41:11
"463","Xuecheng EPA, Zaozhuang",189,540,34.79111111,117.2666667,"http://aqicn.org/city/shandong/zaozhuang/xuechengquhuanbaoju/","pm25","2017-03-27 08:00:00","+08:00",5,45,1024,130,62.3,27.5,189,17.7,7,0.9,NA,200,-2,NA,NA,NA,NA,2017-03-27 00:41:11
"464","Yicheng District government, Zaozhuang",159,541,34.77388889,117.5708333,"http://aqicn.org/city/shandong/zaozhuang/yichengquzhengfu/","pm25","2017-03-27 08:00:00","+08:00",5,45,1024,135,36,21.5,159,9.3,6.5,0.9,NA,200,-2,NA,NA,NA,NA,2017-03-27 00:41:11
"465","Taierzhuang EPA, Zaozhuang",166,542,34.58055556,117.7352778,"http://aqicn.org/city/shandong/zaozhuang/taierzhuanghuanbaoju/","pm25","2017-03-27 08:00:00","+08:00",5,45,1024,112,28.4,17.9,166,10.6,3.3,0.9,NA,200,-2,NA,NA,NA,NA,2017-03-27 00:41:11
"466","Shanting EPA, Zaozhuang",157,543,35.07083333,117.4516667,"http://aqicn.org/city/shandong/zaozhuang/shantingquhuanbaoju/","pm25","2017-03-27 08:00:00","+08:00",5,45,1024,73,38.6,22.9,157,0.1,10.2,0.9,NA,200,-2,NA,NA,NA,NA,2017-03-27 00:41:11
"467","City EPA, Zaozhuang",193,544,34.81027778,117.3147222,"http://aqicn.org/city/shandong/zaozhuang/shihuanbaoju/","pm25","2017-03-27 08:00:00","+08:00",5,45,1024,131,51.2,31.6,193,21.2,11,0.9,NA,200,-2,NA,NA,NA,NA,2017-03-27 00:41:11
"468","City EPA, Dongying",53,546,37.43138889,118.6672222,"http://aqicn.org/city/shandong/dongying/shihuanbaoju/","pm25","2017-03-27 08:00:00","+08:00",NA,NA,NA,38,32.5,16,53,6.9,30.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"469","Guǎngnán reservoir, Dongying",NA,547,37.37805556,118.8191667,"http://aqicn.org/city/shandong/dongying/guangnanshuiku/","","2015-05-15 15:00:00","+0800",12,69,0,59,3.1,5.5,158,NA,NA,1.8,NA,237,7,NA,NA,NA,NA,2017-03-27 00:41:11
