"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","time_estern","uvi","mepaqi","pm1","time_estern"
"31","Sudbury, Ontario",46,31,"46.49194","-81.003105","http://aqicn.org/city/canada/ontario/sudbury/","pm25","2017-03-24 13:00:00","-05:00",-1.85,92,1013,NA,1.5,11.2,46,NA,21.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"32","Thunder Bay, Ontario",17,32,"48.379389","-89.290167","http://aqicn.org/city/canada/ontario/thunder-bay/","o3","2017-03-24 13:00:00","-05:00",3.15,86,1017,NA,NA,11.2,13,NA,16.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"33","Tiverton, Ontario",30,33,"44.314472","-81.549722","http://aqicn.org/city/canada/ontario/tiverton/","o3","2017-03-24 13:00:00","-05:00",-1.68,84,1018,NA,NA,4.7,91,NA,29.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"34","Toronto Downtown, Ontario",57,34,"-79.388111","43.662972","http://aqicn.org/city/canada/ontario/toronto-downtown/","pm25","2017-03-24 13:00:00","-05:00",5.16,93,1016,NA,NA,13,57,NA,25.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"35","Toronto East, Ontario",53,35,"43.747917","-79.274056","http://aqicn.org/city/canada/ontario/toronto-east/","pm25","2017-03-24 13:00:00","-05:00",5.16,93,1016,NA,NA,13.9,53,NA,24.1,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"36","Toronto North, Ontario",57,36,"43.781611","-79.417722","http://aqicn.org/city/canada/ontario/toronto-north/","pm25","2017-03-24 13:00:00","-05:00",5.16,93,1016,NA,1.5,20.4,57,NA,17.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"37","Toronto West, Ontario",63,37,"43.709444","-79.5435","http://aqicn.org/city/canada/ontario/toronto-west/","pm25","2017-03-24 13:00:00","-05:00",5.41,87,1015,NA,1.5,20.4,63,3.5,17.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"38","Windsor Downtown, Ontario",46,38,"42.315778","-83.043667","http://aqicn.org/city/canada/ontario/windsor-downtown/","pm25","2017-03-24 13:00:00","-05:00",16.13,55,1016,NA,7.2,9.3,46,3.5,31.2,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"39","Windsor West, Ontario",61,39,"42.292889","-83.073139","http://aqicn.org/city/canada/ontario/windsor-west/","pm25","2017-03-24 13:00:00","-05:00",16.13,55,1016,NA,1.5,9.3,61,NA,30.4,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"40","Inuvik, NorthWestTerritories",17,40,"68.356994","-133.714063","http://aqicn.org/city/canada/northwestterritories/inuvik/","pm25","2017-03-24 10:00:00","-05:00",-20.35,79.5,1017,NA,0.2,5.8,17,2.4,7.2,2.6,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
