"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"1520","Takemotocho, Toyota, Aichi",NA,1939,35.0219494,137.1190126,"http://aqicn.org/city/japan/toyodashi/toyodashinanbu/","","2015-05-29 12:00:00","+0900",23.16,71,994,38,1.5,13,85,3.4,35,1.72,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1521","Kanocho, Toyota, Aichi",NA,1940,35.1549829,137.1628898,"http://aqicn.org/city/japan/toyodashi/toyodashihokubu/","","2015-05-29 12:00:00","+0900",18.29,84,994.52,37,1.5,1.9,78,3.4,42,1.21,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1522","Ikeuracho, Anjo, Aichi",34,1941,34.9680319,137.0791385,"http://aqicn.org/city/japan/akishi/akinorinkoko/","pm25","2017-03-28 01:00:00","+09:00",6.2,54.4,1018,15,1.5,8.4,34,1.2,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1523","Nawamachi, Tokai, Aichi",59,1942,35.0427601,136.9121114,"http://aqicn.org/city/japan/tokaishi/tokaishinawamachi/","pm25","2017-03-28 01:00:00","+09:00",1.03,86,1018,10,11.5,9.3,59,3.4,31.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1524","Tobishima Shinden, Aichi",46,1943,35.0762511,136.7881202,"http://aqicn.org/?city=Japan/%E6%B5%B7%E9%83%A8%E9%83%A1%E9%A3%9B%E5%B3%B6%E6%9D%91/%E5%9B%BD%E8%A8%AD%E9%A3%9B%E5%B3%B6%E8%87%AA%E5%8B%95%E8%BB%8A%E4%BA%A4%E9%80%9A%E7%92%B0%E5%A2%83%E6%B8%AC%E5%AE%9A%E6%89%80","pm25","2017-03-28 01:00:00","+09:00",5.9,58.3,1018,6,1.5,13,46,1.2,36.8,2.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1525","Okuda, Aichi",25,1944,34.7873533,136.858494,"http://aqicn.org/city/japan/chitagunmihamamachi/mihamamachiokuda/","pm25","2017-03-28 01:00:00","+09:00",1.03,86,1018,10,1.5,2.8,25,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1526","Hisainomuracho, Tsu, Mie",30,1945,34.6775594,136.4890106,"http://aqicn.org/city/japan/tsushi/tsuritsunarushogakko/","pm25","2017-03-28 01:00:00","+09:00",-0.44,91,1019,10,1.5,2.8,30,NA,35.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1527","Kuramachi, Yokkaichi, Mie",25,1946,34.9654097,136.6333952,"http://aqicn.org/city/japan/yokkaichishi/naya/","pm25","2017-03-28 01:00:00","+09:00",1.03,86,1018,6,1.5,6.5,25,1.2,37.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1528","Tomida, Yokkaichi, Mie",53,1947,35.0050519,136.6549065,"http://aqicn.org/city/japan/yokkaichishi/kitashobosho/","pm25","2017-03-28 01:00:00","+09:00",-0.44,91,1019,8,1.5,6.5,53,1.2,36.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1529","Ueno, Kuwana, Mie",21,1948,35.0616775,136.6728446,"http://aqicn.org/city/japan/kuwanashi/kuwanaueno/","pm25","2017-03-28 01:00:00","+09:00",1.03,86,1018,7,1.5,2.8,21,1.2,39.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1530","Hasumachi, Toyama, Toyama",5,1949,36.7428996,137.2330458,"http://aqicn.org/city/japan/toyamashi/toyamaiwase/","co","2017-03-27 23:00:00","+09:00",4.15,100,1000.57,5,1.5,6.5,46,4.5,29.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1531","Fuchumachi Sasakura, Toyama, Toyama",5,1950,36.6601273,137.1524098,"http://aqicn.org/city/japan/toyamashi/fuchuhayahoshi/","co","2017-03-27 23:00:00","+09:00",4.15,100,1000.57,7,1.5,3.8,42,4.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1532","Fushikihigashiichinomiya, Takaoka, Toyama",42,1951,36.7939702,137.0564268,"http://aqicn.org/city/japan/takaokashi/takaokafushiki/","pm25","2017-03-28 01:00:00","+09:00",3.15,74,1000.57,12,1.5,2.8,42,3.4,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1533","Otsubomachi, Takaoka, Toyama",38,1952,36.7536325,137.0166929,"http://aqicn.org/city/japan/takaokashi/takaokaotsubo/","pm25","2017-03-28 01:00:00","+09:00",3.15,74,1000.57,4,1.5,8.4,38,3.4,15.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1534","Nishiimacho, Hikone, Shiga",42,1953,35.251985,136.240778,"http://aqicn.org/city/japan/hikoneshi/hikone/","pm25","2017-03-28 01:00:00","+09:00",-0.79,91,1010.51,6,NA,9.3,42,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1535","Bungicho, Nagahama, Shiga",46,1954,35.3887022,136.2667395,"http://aqicn.org/city/japan/nagahamashi/nagahama/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,11,1.5,9.3,46,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1536","Nakamuracho, Omihachiman, Shiga",34,1955,35.1267777,136.0944626,"http://aqicn.org/city/japan/omihachimanshi/yahata/","pm25","2017-03-28 00:00:00","+09:00",0.83,90,1009.75,9,1.5,2.8,34,5.6,36.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1537","Kusatsu, Kusatsu, Shiga",30,1956,35.0127231,135.9609275,"http://aqicn.org/city/japan/kusatsushi/jihaikusatsu/","pm25","2017-03-28 01:00:00","+09:00",-0.79,91,1010.51,10,1.5,29.7,30,3.4,8.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1538","Kasugacho, Higashiomi, Shiga",59,1957,35.1061341,136.2045847,"http://aqicn.org/city/japan/higashiomishi/higashiomi/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,10,1.5,15.8,59,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1539","Imazucho Minamishinbo, Takashima, Shiga",50,1958,35.4087539,136.0363807,"http://aqicn.org/city/japan/takashimashiimazumachi/takashima/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,NA,NA,NA,50,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1540","Kyoto Prefecture",38,1975,34.9028063,135.6884756,"http://aqicn.org/city/japan/otokunigunoyamazakimachi/kokudoichinanaichigo/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,10,1.5,33.4,38,3.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1541","Kyoto Prefecture",46,1959,35.0104252,135.7514114,"http://aqicn.org/city/japan/kyotoshichukyoku/kyotoshiyakusho/","pm25","2017-03-28 01:00:00","+09:00",-0.79,91,1010.51,8,4.3,13,46,4.5,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1542","Kyoto Prefecture",55,1976,34.8814997,135.7326073,"http://aqicn.org/city/japan/kusegunkumiyamamachi/kumiyama/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,20,1.5,23.2,55,3.4,12.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1543","Nishikiomiyacho, Kyoto Prefecture",50,1960,35.0038257,135.7485674,"http://aqicn.org/city/japan/kyotoshichukyoku/jihaiomiya/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,11,4.3,14.9,50,4.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1544","Nishikujo Nandencho, Kyoto Prefecture",42,1961,34.9767559,135.7464176,"http://aqicn.org/city/japan/kyotoshiminamiku/jihaiminami/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,11,4.3,32.5,42,4.5,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1545","Daigokagiocho, Kyoto Prefecture",34,1962,34.94563,135.8079501,"http://aqicn.org/city/japan/kyotoshifushimiku/daigo/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,7,2.9,24.1,34,3.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1546","Okano, Fukuchiyama, Kyoto Prefecture",46,1963,35.2925728,135.1252214,"http://aqicn.org/city/japan/fukuchiyamashi/fukuchiyama/","pm25","2017-03-28 01:00:00","+09:00",8.15,70,1018,11,1.5,8.4,46,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1547","Mizoshiri, Maizuru, Kyoto Prefecture",50,1964,35.4725224,135.3997656,"http://aqicn.org/city/japan/maizurushi/higashimaizuru/","pm25","2017-03-28 01:00:00","+09:00",8.15,70,1018,20,1.5,10.2,50,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1548","Miyashirocho, Ayabe, Kyoto Prefecture",38,1965,35.3025186,135.2424494,"http://aqicn.org/city/japan/ayabeshi/ayabe/","pm25","2017-03-28 01:00:00","+09:00",8.15,70,1018,6,1.5,6.5,38,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1549","Uji, Uji, Kyoto Prefecture",38,1966,34.8878907,135.7972961,"http://aqicn.org/city/japan/ujishi/uji/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,20,1.5,9.3,38,3.4,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1550","Yoshiwara, Miyazu, Kyoto Prefecture",34,1967,35.5318549,135.1988719,"http://aqicn.org/city/japan/miyazushi/miyazu/","pm25","2017-03-28 01:00:00","+09:00",-3.39,78,1002.65,10,1.5,2.8,34,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1551","Amarubecho, Kameoka, Kyoto Prefecture",42,1968,35.013336,135.560652,"http://aqicn.org/city/japan/kameokashi/kameoka/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,17,1.5,5.6,42,4.5,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1552","Morimotocho, Muko, Kyoto Prefecture",42,1969,34.9469748,135.7037513,"http://aqicn.org/city/japan/mukoshi/koyo/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,10,1.5,6.5,42,4.5,29.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1553","Takakaichokita, Omihachiman, Shiga",53,1970,35.1294637,136.1076666,"http://aqicn.org/city/japan/yahatashi/kokudoichigo/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,18,1.5,18.6,53,3.4,36.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1554","Tanabemyota, Kyotanabe, Kyoto Prefecture",34,1971,34.823072,135.7694,"http://aqicn.org/city/japan/kyotanabeshi/tanabe/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,11,1.5,11.2,34,3.4,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1555","Mineyamacho Tanba, Kyotango, Kyoto Prefecture",30,1972,35.6262142,135.0731151,"http://aqicn.org/city/japan/kyotangoshi/kyotango/","pm25","2017-03-28 01:00:00","+09:00",-3.39,78,1002.65,11,NA,2.8,30,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1556","Sonobecho Kuroda, Nantan, Kyoto Prefecture",46,1973,35.1115344,135.4521442,"http://aqicn.org/city/japan/minaminishi/minamini/","pm25","2017-03-28 01:00:00","+09:00",8.15,70,1018,2,1.5,1,46,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1557","Shimokoma, Kyoto Prefecture",55,1977,34.7780762,135.7931515,"http://aqicn.org/city/japan/sagaragunseikamachi/seika/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,14,NA,15.8,55,2.3,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1558","Kasugadekita, Osaka Prefecture",42,1978,34.6830377,135.4522254,"http://aqicn.org/city/japan/osakashikonohanaku/konohanakuyakusho/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,11,1.5,15.8,42,2.3,29.6,1.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1559","Kujominami, Osaka Prefecture",57,1979,34.672945,135.4725961,"http://aqicn.org/city/japan/osakashinishiku/kujominamishogakko/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,20,2.9,17.6,57,2.3,26.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1560","Hirao, Osaka Prefecture",38,1980,34.6408489,135.4740192,"http://aqicn.org/city/japan/osakashitaishoku/hiraoshogakko/","pm25","2017-03-28 01:00:00","+09:00",7,71,1009.75,12,1.5,7.5,38,2.3,31.2,1,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1561","Dekijima, Osaka Prefecture",9,1981,34.7045985,135.4373873,"http://aqicn.org/city/japan/osakashinishiyodogawaku/dekishimashogakko/","pm10","2017-03-28 01:00:00","+09:00",8.15,70,1018,9,2.9,14.9,5,0.1,29.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1562","Shigita, Osaka Prefecture",53,1982,34.6971463,135.5430396,"http://aqicn.org/city/japan/osakashijotoku/seikenshogakko/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,9,2.9,6.5,53,2.3,36.1,0.9,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1563","Abikohigashi, Osaka Prefecture",53,1983,34.6046482,135.5120773,"http://aqicn.org/city/japan/osakashisumiyoshiku/abikochugakko/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,12,5.8,11.2,53,5.6,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1564","Kumata, Osaka Prefecture",7,1984,34.6392568,135.5355059,"http://aqicn.org/city/japan/osakashihigashisumiyoshiku/kumatamachikosaten/","pm10","2017-03-28 00:00:00","+09:00",0.83,90,1009.75,7,NA,32.5,NA,2.3,36.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1565","Nankohigashi, Osaka Prefecture",61,1985,34.6356094,135.4313149,"http://aqicn.org/city/japan/osakashisuminoeku/nankochuokoen/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,14,5.8,13.9,61,2.3,28.1,0.5,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1566","Sanbocho, Osaka Prefecture",50,1986,34.5939598,135.4717818,"http://aqicn.org/city/japan/sakaishisakaiku/sanbo/","pm25","2017-03-28 00:00:00","+09:00",0.83,90,1009.75,12,5.8,11.2,50,3.4,34.4,1.7,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1567","Fukaimizuikecho, Osaka Prefecture",17,1987,34.5307004,135.5015024,"http://aqicn.org/city/japan/sakaishinakaku/fukai/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,12,5.8,14.9,17,5.6,22.4,0.9,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1568","Hamadera Funaochonishi, Osaka Prefecture",42,1988,34.5435147,135.4580587,"http://aqicn.org/city/japan/sakaishinishiku/hamadera/","pm25","2017-03-28 01:00:00","+09:00",7.3,67,1018,12,7.2,15.8,42,5.6,26.4,1.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1569","Wakamatsudai, Osaka Prefecture",17,1989,34.4865888,135.5130716,"http://aqicn.org/city/japan/sakaishiminamiku/wakamatsudai/","pm25","2017-03-28 01:00:00","+09:00",2.9,83,978.17,9,4.3,4.7,17,3.4,19.2,1.7,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1570","Sennaricho, Toyonaka, Osaka Prefecture",17,1990,34.7382039,135.4734145,"http://aqicn.org/city/japan/toyonakashi/sennari/","pm25","2017-03-28 00:00:00","+09:00",6.7,NA,NA,16,4.3,11.2,17,NA,29.6,0.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1571","Sennaricho, Toyonaka, Osaka Prefecture",55,6403,34.7382317,135.4730958,"http://aqicn.org/city/japan/toyonakashi/toyonakashisennari/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,20,4.3,16.7,55,2.3,24.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1572","Shinonomecho, Izumiotsu, Osaka Prefecture",46,1991,34.5042692,135.4104727,"http://aqicn.org/city/japan/izumiotsushi/izumiotsushiyakusho/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,11,5.8,12.1,46,5.6,14.5,0.5,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1573","Shibocho, Takatsuki, Osaka Prefecture",NA,1992,34.8318766,135.6065923,"http://aqicn.org/city/japan/takatsukishi/dakakeyakiminami/","","","",22.15,33,1014,NA,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1574","Toba, Kaizuka, Osaka Prefecture",30,1993,34.4357981,135.3661247,"http://aqicn.org/city/japan/kaizukashi/kaizukashishobosho/","pm25","2017-03-28 02:00:00","+09:00",8.15,61,1018,14,5.8,8.4,30,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1575","Keihanhondori, Moriguchi, Osaka Prefecture",46,1994,34.7377342,135.5639259,"http://aqicn.org/city/japan/moriguchishi/osakafuritsuyodogawakokakotogakko/","pm25","2017-03-28 02:00:00","+09:00",0.83,90,1009.75,11,4.3,19.5,46,2.3,36.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1576","Minaminakaburi, Hirakata, Osaka Prefecture",42,1995,34.7945228,135.6251076,"http://aqicn.org/city/japan/hirakatashi/chufu/","pm25","2017-03-28 00:00:00","+09:00",0.83,90,1009.75,4,1.5,6.5,42,0.1,31.2,0.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1577","Shimizucho, Yao, Osaka Prefecture",21,1996,34.6255304,135.6019441,"http://aqicn.org/city/japan/yaoshi/yaohokenjo/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,13,1.5,17.6,21,4.5,16,1.1,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1578","Shinyasumatsu, Izumisano, Osaka Prefecture",38,1997,34.4011426,135.3070973,"http://aqicn.org/city/japan/izumisanoshi/suehirokoen/","pm25","2017-03-28 02:00:00","+09:00",5.9,91,1018,11,1.5,9.3,38,NA,28.1,1.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1579","Tokiwacho, Tondabayashi, Osaka Prefecture",30,1998,34.4998441,135.5972971,"http://aqicn.org/city/japan/tondabayashishi/tondabayashishiyakusho/","pm25","2017-03-28 02:00:00","+09:00",3,74,1009.75,19,1.5,4.7,30,3.4,21.6,2.1,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1580","Honmachi, Neyagawa, Osaka Prefecture",9,1999,34.766079,135.6280109,"http://aqicn.org/city/japan/neyagawashi/neyagawashiyakusho/","pm25","2017-03-28 02:00:00","+09:00",5.9,74,1010.51,6,1.5,24.1,9,2.3,12.8,0.5,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1581","Mikkaichicho, Kawachinagano, Osaka Prefecture",21,2000,34.4388004,135.5672121,"http://aqicn.org/city/japan/kawachinaganoshi/sannichishikominkan/","pm25","2017-03-28 02:00:00","+09:00",8.15,52,978.17,10,1.5,2.8,21,3.4,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1582","Nishinoyamacho, Kawachinagano, Osaka Prefecture",50,2001,34.455243,135.5636397,"http://aqicn.org/city/japan/kawachinaganoshi/gaitamakikawachinagano/","pm25","2017-03-28 00:00:00","+09:00",0.83,90,1009.75,17,4.3,8.4,50,2.3,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1583","Ao, Matsubara, Osaka Prefecture",70,2002,34.5793706,135.5517195,"http://aqicn.org/city/japan/matsubarashi/matsubarakitashogakko/","pm25","2017-03-28 02:00:00","+09:00",0.83,90,1009.75,13,NA,25.1,70,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1584","Tanigawa, Daito, Osaka Prefecture",61,2003,34.7118154,135.6230012,"http://aqicn.org/city/japan/daitoshi/daitoshiyakusho/","pm25","2017-03-28 00:00:00","+09:00",5.9,90,1009.75,15,1.5,13.9,61,1.2,20.8,0.4,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1585","Midorigaoka, Izumi, Osaka Prefecture",30,2004,34.4461957,135.4596132,"http://aqicn.org/city/japan/izumishi/midorigaokashogakko/","pm25","2017-03-28 02:00:00","+09:00",3.9,70,1018,16,4.3,4.7,30,3.4,20.8,1.7,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1586","Takaida, Kashiwara, Osaka Prefecture",11,2005,34.5743223,135.6317393,"http://aqicn.org/city/japan/kashiwabarashi/furitsushutokugakuin/","pm10","2017-03-28 00:00:00","+09:00",0.83,90,1009.75,11,1.5,1.9,NA,2.3,25.6,0.8,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1587","Nishitoriishi, Takaishi, Osaka Prefecture",46,2006,34.5193229,135.4456188,"http://aqicn.org/city/japan/takaishishi/kamodoruemubiesu/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,12,5.8,22.3,46,5.6,27.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1588","Nishiiwata, Higashiosaka, Osaka Prefecture",34,2007,34.6680619,135.5973239,"http://aqicn.org/city/japan/higashiosakashi/higashiosakashikankyoeiseikensasenta/","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,11,1.5,34.3,34,4.5,8,1,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1589","Tarui, Sennan, Osaka Prefecture",34,2008,34.3660074,135.2733004,"http://aqicn.org/city/japan/sennanshi/sennanshiyakusho/","pm25","2017-03-28 02:00:00","+09:00",8.15,61,1018,9,1.5,7.5,34,NA,17.6,0.9,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1590","Esebicho, Shijonawate, Osaka Prefecture",46,6405,34.7373102,135.6320031,"http://aqicn.org/?city=Japan/%E5%9B%9B%E6%A2%9D%E7%95%B7%E5%B8%82/%E5%9B%BD%E8%A8%AD%E5%9B%9B%E6%A2%9D%E7%95%B7","pm25","2017-03-28 01:00:00","+09:00",0.83,90,1009.75,10,1.5,24.1,46,1.2,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1591","Esebicho, Shijonawate, Osaka Prefecture",NA,2009,34.7373102,135.6320031,"http://aqicn.org/?city=Japan/%E5%9B%9B%E6%9D%A1%E7%95%B7%E5%B8%82/%E5%9B%BD%E8%A8%AD%E5%9B%9B%E6%A2%9D%E7%95%B7","","","+0900",22.63,41,1005,NA,NA,NA,NA,NA,NA,2.11,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1592","Sakurai, Osaka Prefecture",3,2010,34.8839136,135.6629755,"http://aqicn.org/city/japan/mishimagunshimamotomachi/tohonchoyakuba/","co","2017-03-27 23:00:00","+09:00",0.83,90,1009.75,5,1.5,36.2,34,3.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1593","Ogi, Hyogo Prefecture",46,2011,34.7205058,135.2874503,"http://aqicn.org/city/japan/kobeshihigashinadaku/tobujidosha/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,8,NA,1.9,46,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1594","Shinzaike Minamimachi, Hyogo Prefecture",53,2012,34.7048682,135.2341327,"http://aqicn.org/city/japan/kobeshinadaku/nadahama/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,4,1.5,11.2,53,NA,36.8,0.9,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1595","Misakicho, Hyogo Prefecture",42,2013,34.6578468,135.1686778,"http://aqicn.org/city/japan/kobeshihyogoku/hyogonanbu/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,6,1.5,4.7,42,3.4,35.2,1.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1596","Miyukicho, Hyogo Prefecture",50,2014,34.6471391,135.1212876,"http://aqicn.org/city/japan/kobeshisumaku/suma/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,12,1.5,8.4,50,3.4,29.6,2.4,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1597","Hiraiso, Hyogo Prefecture",57,2015,34.6281937,135.0586547,"http://aqicn.org/city/japan/kobeshitarumiku/tarumijidosha/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,9,1.5,30.6,57,3.4,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1598","Fujiwaradai Kitamachi, Hyogo Prefecture",30,2016,34.8276535,135.2231369,"http://aqicn.org/city/japan/kobeshikitaku/kitashin/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,10,NA,3.8,30,3.4,27.2,2.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1599","Minatojima Nakamachi, Hyogo Prefecture",50,2017,34.6611666,135.2122298,"http://aqicn.org/city/japan/kobeshichuoku/minatojima/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,16,1.5,7.5,50,NA,31.2,1.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1600","Hiranocho Shigeta, Hyogo Prefecture",46,2018,34.7223684,135.001341,"http://aqicn.org/city/japan/kobeshinishiku/nishishin/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,14,1.5,6.5,46,1.2,29.6,0.8,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1601","Hirohataku Seimondori, Himeji, Hyogo Prefecture",53,2019,34.8051661,134.6285721,"http://aqicn.org/city/japan/himejishi/hirohata/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,10,1.5,15.8,53,2.3,12.1,1.3,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1602","Shirahamacho, Himeji, Hyogo Prefecture",65,2020,34.7853331,134.7050095,"http://aqicn.org/city/japan/himejishi/shirahama/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,18,2.9,16.7,65,2.3,16.8,0.4,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"1603","Mikuninocho Gochaku, Himeji, Hyogo Prefecture",38,2021,34.8188385,134.7408214,"http://aqicn.org/city/japan/himejishi/mikunino/","pm25","2017-03-28 02:00:00","+09:00",8.15,70,1018,14,1.5,10.2,38,2.3,20.8,1.3,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
