"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"6140","Aioi, Hyogo Prefecture",42,6926,34.8036006,134.4680664,"http://aqicn.org/city/japan/aioishi/ikenouchi/","pm25","2017-03-28 03:00:00","+09:00",2.81,93,1004.59,14,NA,28.8,42,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6141","Jonancho, Toyooka, Hyogo Prefecture",38,6927,35.539376,134.82387,"http://aqicn.org/city/japan/toyookashi/shoozaki/","pm25","2017-03-28 04:00:00","+09:00",-3.39,78,1002.65,11,NA,2.8,38,3.4,NA,0.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6142","Nakashima, Takasago, Hyogo Prefecture",38,6928,34.7712037,134.7955549,"http://aqicn.org/city/japan/takasagoshi/nakajima/","pm25","2017-03-28 03:00:00","+09:00",7.15,75,1019,6,NA,12.1,38,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6143","Kamihonmachi, Ono, Hyogo Prefecture",50,6929,34.8480936,134.9352843,"http://aqicn.org/city/japan/xiaoyeshi/shangbending/","pm25","2017-03-28 04:00:00","+09:00",7.15,75,1019,25,NA,4.7,50,2.3,NA,0.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6144","Noguchihara, Beppu, Oita Prefecture",80,6930,33.2853901,131.490068,"http://aqicn.org/city/japan/beppushi/aoyamachugakko/","pm25","2017-03-28 03:00:00","+09:00",4.51,60,1020,12,2.9,3.8,80,NA,46.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6145","Usuki, Usuki, Oita Prefecture",50,6931,33.1268726,131.8054798,"http://aqicn.org/city/japan/jiuchushi/jiuchushiyisuo/","pm25","2017-03-28 03:00:00","+09:00",3.56,90,1020,14,2.9,2.8,50,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6146","Miyamotomachi, Tsukumi, Oita Prefecture",74,6932,33.0721749,131.8610049,"http://aqicn.org/city/japan/tsukumishi/tsukumishiyakusho/","pm25","2017-03-28 03:00:00","+09:00",3.56,90,1020,22,2.9,2.8,74,NA,48.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6147","Miemachi Ichiba, Bungoono, Oita Prefecture",57,6933,32.975714,131.5809838,"http://aqicn.org/city/japan/bungoonoshi/yutakakoehokenjo/","pm25","2017-03-28 03:00:00","+09:00",3.56,90,1020,17,2.9,5.6,57,NA,47.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6148","Hayami District, Oita Prefecture",68,6934,33.369248,131.541766,"http://aqicn.org/city/japan/hayamigunhinodemachi/hinodemachitakajo/","pm25","2017-03-28 03:00:00","+09:00",3.56,90,1020,10,2.9,2.8,68,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6149","Cheremushki, Moscow",5,6935,37.5793151,55.6809484,"http://aqicn.org/city/moscow/cheremushki/","pm25","2017-03-27 20:00:00","+03:00",1,75,1000,4,NA,11.5,5,2.8,NA,4,NA,260,-3,NA,NA,NA,NA,2017-03-27 17:10:11
"6150","Veshnyaki, Moscow",17,6936,37.7917901,55.7213102,"http://aqicn.org/city/moscow/veshnyaki/","pm25","2017-03-27 20:00:00","+03:00",1,75,1000,9,0.6,14.5,17,1.9,NA,4.9,NA,260,-3,NA,NA,NA,NA,2017-03-27 17:10:11
