"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","pm25","o3","no2","co","so2","pm10","h","t","w","wd","d","p","r","uvi","pol","mepaqi","pm1","time_estern","time_estern"
"42","Untere Agergasse 14",59,2872,48.0008333333333,13.6675,"http://aqicn.org/city/austria/untere-agergasse-14/","pm25","2017-03-29 02:00:00","+01:00",59,NA,11.9,NA,0.6,20,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"43","Hagerkreuzung",34,2873,47.6830556,13.1,"http://aqicn.org/city/austria/hagerkreuzung/","pm10","2017-03-28 22:00:00","+01:00",NA,NA,21.5,0.1,1.6,34,66,9.15,NA,NA,NA,973.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"44","Praxmarerstraße",8,2874,47.5818083,12.1724111,"http://aqicn.org/city/austria/praxmarerstrasse/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,4.2,NA,NA,8,75,7.87,NA,NA,NA,969.98,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"45","B14",NA,2875,48.296388888889,16.335277777778,"http://aqicn.org/city/austria/b14/","","","+0100",NA,NA,NA,NA,NA,NA,72,16.47,11.8,NA,NA,1014,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"46","Rudolf Diesel-Straße (160 m von A22)",NA,2876,48.386111111111,16.1825,"http://aqicn.org/city/austria/rudolf-diesel-strasse-160-m-von-a22/","","","+0100",NA,NA,NA,NA,NA,NA,77,15.27,11.3,NA,NA,1014,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"47","Altau, Freizeitpark, Am See 2",53,2877,48.2788888888889,14.3658333333333,"http://aqicn.org/city/austria/altau--freizeitpark--am-see-2/","pm25","2017-03-29 03:00:00","+01:00",53,NA,6,0.1,0.6,17,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"48","Bahnhof Weiz Stadt",NA,2878,47.221111111111,15.625277777778,"http://aqicn.org/city/austria/bahnhof-weiz-stadt/","","","+0100",NA,NA,NA,NA,NA,NA,87,14.28,1.5,NA,NA,1017,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"49","Hauptschule, Klagenfurter Str. (B70),Hans Schreiber-Straße 1",34,2879,46.835,14.8436111111111,"http://aqicn.org/city/austria/hauptschule--klagenfurter-str.-b70-hans-schreiber-strasse-1/","pm25","2017-03-29 02:00:00","+01:00",34,NA,10.1,NA,0.6,12,86,4.21,NA,NA,NA,1025,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"50","Observatorium Schloss Lustbühel",10,2880,47.0670111111111,15.4936888888889,"http://aqicn.org/city/austria/observatorium-schloss-lustbuhel/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,NA,NA,NA,10,80,5.15,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"51","Tiergartenweg 10, Ecke Herrgotwiesgasse 190",NA,2881,47.041666666667,15.433055555556,"http://aqicn.org/city/austria/tiergartenweg-10--ecke-herrgotwiesgasse-190/","","","+0100",NA,NA,NA,NA,NA,NA,87,14.28,1.5,NA,NA,1017,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"52","Franz Schmidt Gasse, Georgigasse",NA,2882,47.28286,15.971852,"http://aqicn.org/city/austria/franz-schmidt-gasse--georgigasse/","","","+0100",NA,NA,NA,NA,NA,NA,87,17.69,1,NA,NA,1017,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"53","Seindl, Dissay-Weg",13,2883,46.7675,15.956111,"http://aqicn.org/city/austria/seindl--dissay-weg/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,2.3,NA,1.1,13,80,5.15,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"54","Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",10,2884,47.093613,15.414722,"http://aqicn.org/city/austria/graz-nord--josef-ornig-strasse-16--umspannwerk--sportplatz/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,11,NA,0.6,10,80,4.68,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"55","Ungertorweg, Hauptschule Schillerplatz",15,2885,47.047222,16.078888,"http://aqicn.org/city/austria/ungertorweg--hauptschule-schillerplatz/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,12.8,NA,NA,15,80,5.15,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
