,description_score
126,0.05214676034348166
127,0.014285714285714287
128,0.03945040466779597
129,0.03728937728937729
130,0.04820213799805637
131,0.03225327971520865
132,0.06193181818181817
133,0.07066378066378066
134,0.06484848484848486
135,0.042405987586710485
136,0.03520661157024793
137,0.07151623376623376
138,0.042053998632945996
139,0.039462809917355374
140,0.042097299146931506
141,0.04208754208754209
142,0.03134920634920635
143,0.11662639685895497
144,0.0265625
145,0.024025974025974027
146,0.023467432950191575
147,0.05203527815468114
148,0.09538770053475935
149,0.04164921100404971
150,0.07964257964257965
151,0.042619880119880126
152,0.032758620689655175
153,-0.011538461538461537
154,0.0
155,0.049610389610389605
156,0.004120879120879121
157,0.08096397649969078
158,0.06734233569460842
159,0.034281286894923255
160,0.08372093023255812
161,0.06496069719753932
162,0.17272727272727273
163,0.055
164,0.006614583333333333
165,0.0455056179775281
166,-0.0013157894736842105
167,0.03528571428571428
168,0.08034398034398034
169,0.03185328185328185
170,0.0
171,0.056897819161970106
172,0.06545138888888889
173,0.015218417945690673
174,
175,0.04129094176263987
176,0.07392727272727273
177,0.038007054673721334
178,0.05384615384615384
179,0.014361702127659573
180,0.01722183668748554
181,0.029918742459726064
182,0.014126845376845379
183,0.05693296602387512
184,0.07708900855242318
185,0.051320049813200506
186,0.011111111111111113
187,0.08530199958771388
188,0.03984265010351968
189,0.06588827838827839
190,0.03322314049586777
191,0.051300802757113434
192,0.005
193,0.045384097035040434
194,0.04797130973601563
195,0.046804455706894725
196,0.047491071428571424
197,0.022727272727272724
198,0.025102406554019453
199,0.06805113636363638
200,0.03125
201,0.0077777777777777776
202,0.04275717220632475
203,0.04195402298850575
204,0.037295081967213116
205,0.005528846153846153
206,0.028109243697478994
207,0.09824242424242424
208,0.024925595238095236
209,0.04793488824101069
210,
211,0.03076923076923077
212,0.0423828125
213,0.05359550561797753
214,0.0515625
215,0.022724637681159423
216,0.03203962703962704
217,0.04938524590163935
218,0.027297297297297296
219,0.03067408781694496
220,0.044444444444444446
221,0.0255543710021322
222,0.03918495297805643
223,0.08549073876942731
224,-0.003205128205128205
225,0.03652501344809036
226,0.04382352941176471
227,0.06072526507309116
228,0.03478254303835699
229,0.03304093567251462
230,0.009097859327217126
231,0.052100840336134456
232,0.04609053497942387
233,0.03157081014223871
234,0.047027617444284124
235,0.04493610806863819
236,0.025943396226415096
237,0.038912448096121564
238,0.062247780468119455
239,0.01453871735328689
240,
241,0.029313543599257887
242,0.07805402930402933
243,0.05204010275438848
244,0.04965800865800866
245,0.04428411095077762
246,0.030612244897959183
247,0.06211995733734865
248,0.028898225957049484
249,0.029540043290043286
250,0.02689867424242424
251,0.11499999999999999
252,0.03305871212121212
253,0.0062316715542522
254,0.08492063492063491
255,0.030511436761436757
256,0.016661671661671658
257,0.03333333333333333
258,0.05178571428571429
259,0.06333333333333335
260,0.05153217568947906
261,0.03575502213142664
262,0.06119691119691121
263,0.06916666666666667
264,0.03949981178242048
265,0.04729437229437229
266,0.09518716577540107
267,0.10921658986175115
268,0.07474192474192475
269,0.05082714904143476
270,0.024621212121212117
271,0.055
272,0.016583333333333335
273,0.017582972582972586
274,0.025192307692307694
275,0.05333333333333334
276,0.04579124579124579
277,0.06638468013468013
278,0.012096774193548387
279,0.041487012987012996
280,0.004006968641114983
281,0.028584680625496954
282,
283,0.05776515151515151
284,0.05204010275438848
285,0.003448275862068966
286,0.03227495543672015
287,0.11429430863254395
288,0.036217674335651866
289,0.01658823529411765
290,0.10681818181818184
291,0.011715943630837247
292,0.042321839080459764
293,0.02575757575757576
